# SAXS profile: number of points = 802, q_min = 0, q_max = 0.9, delta_q = 0.001125
#    q    intensity    error
0.37350    40479.06640625  2501.30273438
0.37462    40301.28125000  2951.94287109
0.37575    40118.56250000  3627.52026367
0.37687    39931.96093750  2716.07202148
0.37800    39741.33984375  3614.87207031
0.37912    39546.63671875  2705.87963867
0.38025    39347.61328125  3150.26806641
0.38137    39145.42968750  2694.28198242
0.38250    38938.91796875  2239.96118164
0.38362    38730.45312500  2234.50488281
0.38475    38516.64062500  2228.66894531
0.38587    38300.70312500  2444.90136719
0.38700    38082.48828125  2438.04077148
0.38812    37860.65234375  2651.85449219
0.38925    37636.35937500  2864.07983398
0.39037    37410.22265625  3074.69946289
0.39150    37180.79296875  3721.33251953
0.39262    36950.21093750  3272.51831055
0.39375    36716.60546875  2391.48999023
0.39487    36482.14843750  2166.35546875
0.39600    36245.54687500  2590.10668945
0.39712    36008.09375000  2795.46557617
0.39825    35768.34765625  2784.69995117
0.39937    35528.28906250  2773.80444336
0.40050    35286.53125000  2337.64428711
0.40162    35044.35156250  2116.45971680
0.40275    34801.39843750  2318.42553711
0.40387    34558.06640625  2098.75463867
0.40500    34314.43359375  3761.54785156
0.40612    34070.74609375  2496.78930664
0.40725    33826.64843750  2485.75122070
0.40837    33582.93359375  2062.20190430
0.40950    33339.29687500  2463.44042969
0.41062    33096.54296875  2452.20556641
0.41175    32853.30078125  2644.23901367
0.41287    32611.68945312  2227.03198242
0.41400    32370.89843750  2418.10595703
0.41512    32130.64453125  2406.66552734
0.41625    31891.06835938  2195.58032227
0.41737    31653.87890625  2979.71777344
0.41850    31417.52929688  2965.42187500
0.41962    31182.39062500  2164.15527344
0.42075    30948.77734375  2349.47631836
0.42187    30717.41406250  2532.97705078
0.42300    30487.55468750  2908.51245117
0.42412    30259.40820312  2122.56494141
0.42525    30033.18945312  1920.24707031
0.42637    29810.68164062  3248.78662109
0.42750    29588.91210938  2472.37548828
0.42862    29369.39843750  2649.74365234
0.42975    29152.86718750  2825.45947266
0.43087    28939.05468750  2062.17871094
0.43200    28727.29296875  2425.58886719
0.43312    28518.87109375  2228.53588867
0.43425    28312.89843750  2218.17382812
0.43537    28108.82031250  2023.88769531
0.43650    27908.96093750  2197.83056641
0.43762    27710.97656250  2005.52990723
0.43875    27517.56054688  2178.15234375
0.43987    27325.99609375  1987.81237793
0.44100    27138.04687500  2339.02807617
0.44212    26953.34375000  2149.86596680
0.44325    26771.71875000  1784.00024414
0.44437    26593.07617188  2309.55859375
0.44550    26417.74023438  1946.26086426
0.44662    26246.64648438  2467.21752930
0.44775    26078.09375000  2457.53417969
0.44887    25913.89257812  2273.31225586
0.45000    25752.91992188  1742.18493652
